Umfang	ALS	ULS	TLS	Höhe Krone	ALS	ULS	TLS	Höhe Baum	ALS	ULS	TLS	Krone Durchmesser	ALS	ULS	TLS
7.8		60.957546		2.2		1.7						4.4		3.491394	
7.8		50		2.2		4.2000003						4.4		1.6806885	
8.3	50			2.1	9.1							4.5	1.839252		
8.3		50		2.1		1.7						4.5		2.5558262	
8.3		224.89116		2.1		0						4.5		2.7621472	
8.3		10.14494		2.1		3.4						4.5		1.141614	
5	50			3	6.5							3.1	2.8405404		
5		50		3		5						3.1		2.4741552	
5		50		3		3.2						3.1		2.4649088	
5		50		3		0						3.1		1.4246005	
7.1	50			1.9	6.4							3.8	4.176906		
7.1		35.003017		1.9		2						3.8		4.107357	
7.1		26.25097		1.9		2.2						3.8		3.8754556	
7.1		50		1.9		6.8						3.8		2.5282283	
29.4	50			2.7	2.8							11.2	8.401054		
29.4		50		2.7		2.1000001						11.2		8.677967	
29.4		23.447355		2.7		2						11.2		8.68976	
29.4		24.044762		2.7		2.3						11.2		8.630021	
18.8	50			1.4	1.9							6.6	3.8639963		
18.8		20.148361		1.4		1.5						6.6		4.2949553	
18.8		134.68051		1.4		1.8000001						6.6		4.620766	
18.8		14.664846		1.4		1.7						6.6		3.3189852	
11.5	50			1	3.8							7.7	3.3957226		
11.5		50		1		2.8						7.7		4.3665276	
11.5		139.1129		1		2.5						7.7		4.5095897	
11.5		18.542011		1		3.1000001						7.7		3.3466313	
24.1	50			1.7	1.8000001							9.3	5.893934		
24.1		50		1.7		1.7						9.3		6.2120857	
24.1		33.86905		1.7		1.8000001						9.3		6.373621	
24.1		20.712492		1.7		2.6000001						9.3		5.128996	
12.1	50			1	4.1							7.5	6.015981		
12.1		50		1		3.3						7.5		6.1499405	
12.1		20.112362		1		1.4						7.5		5.8480687	
12.1		28.278461		1		1.8000001						7.5		4.4777966	
10.8	50			1	5.9							7.5	3.2512956		
10.8		50		1		2						7.5		3.3890212	
10.8		27.213917		1		1.8000001						7.5		3.1726642	
10.8		22.59333		1		5.9						7.5		2.4200761	
19.1	50			2.3	5.1							7.3	4.863084		
19.1		50		2.3		3.1000001						7.3		4.656577	
19.1		25.320765		2.3		2						7.3		4.475366	
19.1		17.329832		2.3		4.9						7.3		3.6372163	
9	50			6.7	6.5							5.4	4.2787		
9		50		6.7		5.5						5.4		4.3638687	
9		19.346273		6.7		3.1000001						5.4		3.9373417	
9		50		6.7		6.5						5.4		2.8081872	
8.7	50			1.7	3.9							5.2	5.31679		
8.7		50		1.7		2.8						5.2		4.9623938	
8.7		50		1.7		1.9						5.2		5.1690545	
8.7		50		1.7		2.6000001						5.2		3.574729	
13.1	50			1.8	5							7.8	4.918852		
13.1		35.52537		1.8		2.2						7.8		5.4602776	
13.1		26.76708		1.8		1.7						7.8		5.593944	
13.1		18.526424		1.8		3.1000001						7.8		3.9236927	
9.9	50			0.5	1.4							6.3	5.1031594		
9.9		29.411837		0.5		1.5						6.3		5.75007	
9.9		23.187609		0.5		1.5						6.3		5.7922974	
9.9		171.22597		0.5		1.4						6.3		4.8117704	
6.5	50			2.1	5.4							5.6	3.4070363		
6.5		50		2.1		5.1						5.6		3.5313509	
6.5		89.96171		2.1		2.4						5.6		3.388447	
6.5		50		2.1		5.7000003						5.6		2.0237288	
8.7	50			2.8	5.4							5.7	3.8012154		
8.7		50		2.8		4.8						5.7		4.034425	
8.7		89.96171		2.8		3.8						5.7		3.8460245	
8.7		50		2.8		5.6						5.7		2.6321707	
14.8	50			3.1	3.7							8.1	7.3398814		
14.8		50		3.1		3.7						8.1		7.2457614	
14.8		20.538177		3.1		3.7						8.1		7.237199	
14.8		14.751983		3.1		4.1						8.1		6.0205173	
52	44.408566			1.4	1.5							11.8	11.672764		
52		21.330437		1.4		1.4						11.8		11.759896	
52		48.268555		1.4		1.4						11.8		11.74466	
52		35.48259		1.4		1.5						11.8		10.432283	
43.9	50			1.9	3.7							10.5	8.075122		
43.9		50		1.9		2.6000001						10.5		8.107397	
43.9		37.21595		1.9		2.4						10.5		7.949078	
43.9		28.94305		1.9		3.6000001						10.5		7.6503606	
45.8	50			0.5	1.5							11.5	10.695551		
45.8		90.84048		0.5		1.4						11.5		10.224353	
45.8		38.172565		0.5		1.4						11.5		9.89625	
45.8		28.4942		0.5		1.5						11.5		9.481947	
38.3	50			3.1	4.6							8.2	7.1979823		
38.3		35.225075		3.1		1.9						8.2		7.7332616	
38.3		31.862524		3.1		2.7						8.2		7.4996524	
38.3		26.267418		3.1		5						8.2		6.722897	
38.3	50			0.2	2.5							7.4	6.4301696		
38.3		73.77937		0.2		1.5						7.4		6.699392	
38.3		32.71653		0.2		1.4						7.4		6.643526	
38.3		24.60535		0.2		1.6						7.4		5.962006	
38.1	50			4.5	5.8							7.9	6.5418906		
38.1		50		4.5		2.4						7.9		6.7575746	
38.1		48.906395		4.5		2.8						7.9		6.4365625	
38.1		23.691097		4.5		3.5						7.9		5.6694493	
38.5	50			1.7	2							9.5	7.1593046		
38.5		64.639366		1.7		1.4						9.5		7.6695414	
38.5		24.250927		1.7		1.4						9.5		7.5653696	
38.5		25.926622		1.7		1.4						9.5		5.995719	
31.7	50			0.8	1.7							7.8	6.2522054		
31.7		71.33909		0.8		1.5						7.8		7.2017055	
31.7		29.588804		0.8		1.4						7.8		7.2921333	
31.7		23.406864		0.8		1.5						7.8		5.8361125	
54.2	50			0.2	1.9							11.2	11.059801		
54.2		54.91346		0.2		1.4						11.2		10.903776	
54.2		42.91889		0.2		1.5						11.2		10.696254	
54.2		16.97115		0.2		1.5						11.2		9.929434	
14.7	50			0.3	5.5							8	5.398662		
14.7		15.113878		0.3		1.6						8		6.2215457	
14.7		46.275078		0.3		1.4						8		6.2290325	
14.7		57.803143		0.3		1.9						8		4.88751	
37.1	30.974556			1.3	1.4							12.9	12.426704		
37.1		170.90778		1.3		1.4						12.9		12.351631	
37.1		28.054058		1.3		1.4						12.9		12.392096	
37.1		59.780186		1.3		1.4						12.9		11.353052	
12.7	50			4	4.6							6.6	5.5462165		
12.7		25.405766		4		3.4						6.6		5.180566	
12.7		50		4		3.3						6.6		4.878168	
12.7		50		4		4.8						6.6		3.9258382	
6.1	50			6.1	8.900001							2.9	2.3849738		
6.1		18.646446		6.1		6.9						2.9		1.7960477	
6.1		43.758114		6.1		6						2.9		1.7527021	
6.1		50		6.1		0						2.9		0.9325922	
8.2	50			7.4	6.4							3	3.7292054		
8.2		50		7.4		1.7						3		3.4294	
8.2		52.949577		7.4		1.7						3		3.2806034	
8.2		50		7.4		8.400001						3		2.0585709	
53.6	50			10.2	13.400001							10.2	8.591673		
53.6		50		10.2		4.1						10.2		8.494515	
53.6		30.390402		10.2		4.4						10.2		8.141306	
53.6		52.718075		10.2		7						10.2		7.2483544	
6.2	50			3.2	7.4							3	2.1796207		
6.2		18.646456		3.2		2.2						3		2.2891178	
6.2		53.760807		3.2		5.5						3		1.8751659	
6.2		50		3.2		0						3		1.1601437	
5.4	50			1.9	6.7000003							3.1	2.4529362		
5.4		50		1.9		5.4						3.1		2.9522793	
5.4		50		1.9		1.9						3.1		2.921856	
5.4		50		1.9		6.6						3.1		1.8273612	
42.5	50			4.7	5.2000003							10.5	9.613838		
42.5		109.82202		4.7		3.7						10.5		10.101794	
42.5		101.77801		4.7		3.9						10.5		9.328245	
42.5		32.575096		4.7		4.3						10.5		8.520062	
11.4	50			1.7	6.4							5.4	3.41204		
11.4		21.317343		1.7		3						5.4		4.719633	
11.4		41.116676		1.7		3.2						5.4		4.4578295	
11.4		70.661194		1.7		6						5.4		3.4237373	
7.5	50			1.4	1.9							5.6	2.7439167		
7.5		23.557487		1.4		1.5						5.6		3.0821598	
7.5		20.654358		1.4		1.4						5.6		3.4427695	
7.5		24.189863		1.4		1.6						5.6		2.2153862	
7.2	50			1.3	2.3							5.7	3.5054305		
7.2		50		1.3		1.7						5.7		4.409241	
7.2		36.126476		1.3		1.4						5.7		4.363	
7.2		20.948072		1.3		2.4						5.7		1.978519	
9.5	50			1.6	1.8000001							5.3	4.1059074		
