Umfang	ALS	ULS	TLS	Höhe Krone	ALS	ULS	TLS	Höhe Baum	ALS	ULS	TLS	Krone Durchmesser	ALS	ULS	TLS
28.4		50.01532		1.6		1.4						13.5		9.517697	
10	50			0.2	3.9			10	10.269			5.2	4.9114504		
10		13.067746		0.2		1.5		10		9.8615		5.2		5.02285	
10		47.804623		0.2		1.4		10		10.14925		5.2		4.8295536	
10		24.420643		0.2		2.3		10		10.05575		5.2		3.9718363	
13	50			0	3.2							7.6	6.153299		
13		50		0		1.5						7.6		5.8526044	
13		27.341932		0		1.4						7.6		5.941571	
13		50		0		2.5						7.6		4.655193	
44.6	50			8.2	7.2000003							11.3	9.554566		
44.6		4.179523		8.2		6.8						11.3		8.898587	
44.6		31.59924		8.2		6.9						11.3		8.814024	
44.6		30.136469		8.2		7.5						11.3		8.2049885	
42.5	19.671679			1.1	2.2							10.1	7.7291317		
42.5		49.31634		1.1		1.5						10.1		7.6954956	
42.5		33.694492		1.1		1.4						10.1		7.4808617	
42.5		38.068447		1.1		1.4						10.1		7.04706	
12.5	50			0.5	2.8			11	10.207999			6.9	5.813001		
12.5		32.832554		0.5		1.5		11		10.04725		6.9		6.06205	
12.5		34.331104		0.5		1.4		11		10.55575		6.9		6.058353	
12.5		18.136635		0.5		2.6000001		11		10.044499		6.9		4.6793914	
25.3	26.710888			0.3	1.4							8	6.4401574		
33.7	50			0.8	1.7							9.4	7.473385		
34.7	50			2.1	3.5							12.1	9.94711		
40	50			2	5.3							7.9	6.7333694		
43.6	50			13.3	10.7							11.1	7.1123123		
41.2	50			17.2	18.5							7.2	6.20697		
25.9	50			1.2	8.5							7.9	5.720878		
44	50			6.8	6.7000003							11.1	7.998999		
41.5	50			0.3	6.4							8.8	8.684217		
41.5		50		0.3		6						8.8		8.662513	
41.5		29.470682		0.3		6.5						8.8		8.339535	
41.5		33.377346		0.3		7						8.8		7.3868566	
35.1	18.710432			2.1	1.4							10	7.0240073		
35.1		35.275265		2.1		1.4						10		6.786046	
35.1		31.398642		2.1		1.5						10		7.056649	
35.1		82.50549		2.1		1.5						10		6.155613	
31.4	53.327465			0.1	1.4							8.1	7.5835676		
31.4		48.00233		0.1		1.4						8.1		7.1865416	
31.4		39.32504		0.1		1.4						8.1		7.07041	
31.4		26.319801		0.1		1.6						8.1		6.4758763	
33.3	25.37897			0.5	1.5							9.2	8.6091585		
33.3		33.65172		0.5		1.4						9.2		8.520616	
33.3		35.503925		0.5		1.5						9.2		8.049998	
33.3		34.325462		0.5		1.4						9.2		7.6387424	
29.3	50			0.2	3.1000001							7.6	5.6154723		
29.3		41.32004		0.2		1.8000001						7.6		5.3818307	
29.3		33.48588		0.2		1.4						7.6		5.1821327	
29.3		28.804598		0.2		5.4						7.6		4.6184316	
38.9	50			2	1.4							7.1	8.274338		
38.9		50		2		2						7.1		7.7695265	
38.9		25.363567		2		2.4						7.1		7.5850573	
38.9		31.106556		2		1.5						7.1		6.6882567	
49.4	50			15.3	14							10.3	9.91894		
49.4		50		15.3		13.1						10.3		9.664779	
49.4		31.768938		15.3		13.2						10.3		9.4709015	
49.4		31.794197		15.3		14						10.3		8.784468	
37.2	50			0.4	2.1000001							9.1	5.80154		
37.2		38.306858		0.4		1.5						9.1		6.501601	
37.2		34.58784		0.4		1.4						9.1		6.008644	
37.2		29.883347		0.4		1.5						9.1		5.2304654	
47.5	50			6.9	1.5							11.3	7.9624624		
47.5		41.44397		6.9		1.5						11.3		7.6819215	
47.5		47.45667		6.9		1.4						11.3		7.4447904	
47.5		47.376823		6.9		1.6						11.3		6.5130634	
47.9	50			13.3	14.5										
47.9		71.11398		13.3		13.6									
47.9		42.591717		13.3		14.400001									
47.9		28.063553		13.3		14.7									
50.6	50			11.8	11.6							13.8	10.161803		
50.6		50		11.8		11.1						13.8		10.090495	
50.6		30.125338		11.8		11.1						13.8		10.263922	
50.6		36.905617		11.8		11.6						13.8		9.057766	
51.3	50			5.3	4.8							11.9	9.97618		
51.3		50		5.3		1.8000001						11.9		9.957878	
51.3		43.303947		5.3		3.9						11.9		9.818032	
51.3		30.689474		5.3		5						11.9		8.882618	
42.4	50			4.9	1.9							10.4	9.181426		
42.4		61.27773		4.9		1.5						10.4		9.834663	
42.4		34.846573		4.9		1.4						10.4		9.363206	
42.4		109.555664		4.9		1.8000001						10.4		7.7000504	
44.3	50			4.1	5.4							11.8	10.023801		
44.3		50		4.1		3.5						11.8		10.340771	
44.3		29.720911		4.1		3.5						11.8		9.977924	
44.3		30.374363		4.1		3.9						11.8		9.140158	
42.9	50			0.7	5.3							9.6	9.946737		
42.9		50		0.7		4.1						9.6		9.754382	
42.9		36.99001		0.7		4.6						9.6		9.930234	
42.9		33.65577		0.7		4.9						9.6		8.774722	
33.6	50			3.2	1.8000001							12.2	10.726356		
33.6		50		3.2		1.9						12.2		10.490161	
33.6		100.8127		3.2		2.1000001						12.2		10.247566	
33.6		26.763947		3.2		2.2						12.2		9.503452	
50.1	50			4.5	4.5							11.6	9.6535		
50.1		50		4.5		2.9						11.6		9.44687	
50.1		32.42199		4.5		3.6000001						11.6		9.016253	
50.1		29.464308		4.5		3.8						11.6		8.824122	
12.6	125.71255			1	5.7000003							7.3	5.6099696		
12.6		50		1		1.4						7.3		5.711969	
12.6		36.28979		1		1.4						7.3		5.3486977	
12.6		21.984766		1		1.7						7.3		4.5513177	
11.8	50			3.9	6.6							5.8	4.336759		
11.8		50		3.9		4.2000003						5.8		4.2506704	
11.8		24.879656		3.9		2.3						5.8		4.0975294	
11.8		18.261065		3.9		4.7000003						5.8		2.9311366	
47.7	50			10.8	9.7							11.3	8.565343		
47.7		74.72113		10.8		3						11.3		8.674207	
47.7		29.978466		10.8		3.4						11.3		8.478531	
47.7		34.070496		10.8		7						11.3		8.183188	
28.9	23.467285			1.3	6							8.5	5.478339		
28.9		18.412573		1.3		3.2						8.5		5.1868477	
28.9		29.56436		1.3		3.2						8.5		5.0144134	
28.9		34.21081		1.3		5						8.5		4.2492805	
37.7	20.033615			18.4	16							11.6	7.678125		
37.7		22.401054		18.4		9.8						11.6		7.479217	
37.7		23.724863		18.4		15.400001						11.6		7.116568	
37.7		25.158396		18.4		15.8						11.6		6.0705304	
34.3	22.048409			1.1	2.1000001							9	6.3498755		
34.3		30.879906		1.1		1.4						9		6.954731	
34.3		27.41143		1.1		1.4						9		6.723986	
34.3		55.060028		1.1		1.5						9		5.838629	
35.2	50			1.8	2.6000001							9.5	6.6130967		
35.2		37.611515		1.8		2.1000001						9.5		7.533024	
35.2		33.218758		1.8		2.1000001						9.5		7.1924453	
35.2		19.785534		1.8		2.5						9.5		6.04049	
22.8	50			0.5	1.5							7	5.443844		
22.8		35.352196		0.5		1.4						7		5.8797398	
22.8		50.12846		0.5		1.4						7		5.120382	
22.8		21.814478		0.5		1.8000001						7		4.2199078	
20.2	15.637911			0.6	1.6							7.2	6.1054277		
20.2		19.069279		0.6		1.4						7.2		6.283866	
20.2		16.966856		0.6		1.4						7.2		6.0776534	
20.2		40.06366		0.6		1.5						7.2		4.729209	
61.7	32.84895			8.4	8							13.2	10.452003		
61.7		50		8.4		6.4						13.2		10.072255	
61.7		36.384727		8.4		6						13.2		9.938287	
61.7		45.73405		8.4		6.4						13.2		9.419658	
39.1	40.986137			5.4	3.5							9	6.408723		
39.1		50		5.4		3.4						9		7.4041543	
39.1		40.485798		5.4		3.9						9		7.143241	
39.1		31.960327		5.4		4.2000003						9		5.859864	
44.5	50			16.3	15.5							8.1	6.3824987		
44.5		32.174454		16.3		14.900001						8.1		7.1197658	
44.5		39.066376		16.3		15						8.1		7.0085545	
44.5		37.377373		16.3		15.400001						8.1		6.9450088	
42.2	50			18	4.5							6.2	5.040969		
42.2		18.725693		18		2.9						6.2		5.2439284	
42.2		22.463623		18		3.8						6.2		5.0683	
42.2		24.429409		18		14.2						6.2		4.8230786	
49	50			18.7	20							7	6.3562245		
49		22.966673		18.7		16.9						7		6.8894734	
49		38.71112		18.7		17.6						7		6.498867	
49		22.97739		18.7		18.2						7		6.536845	
39	50			20.7	10.2							6	4.442793		
39		50		20.7		4.5						6		4.5435967	
39		30.22765		20.7		2.1000001						6		4.410937	
39		26.381598		20.7		22.4						6		4.09757	
38.2	50			9.5	13.1							6.8	5.2279396		
38.2		50		9.5		3						6.8		5.609879	
38.2		22.939209		9.5		2.8						6.8		5.56961	
38.2		22.115847		9.5		14.400001						6.8		5.618152	
48.3	50			18.4	12.2							6.9	5.472004		
48.3		50		18.4		10.3						6.9		5.7029004	
48.3		29.076818		18.4		13						6.9		5.647198	
48.3		29.388268		18.4		17.800001						6.9		5.4136806	
19	50			1.1	2.2							3.5	4.2504		
19		26.189539		1.1		2.2						3.5		4.151968	
19		30.731968		1.1		1.9						3.5		4.151769	
19		21.862637		1.1		2.2						3.5		2.9306552	
11.5	50			1	5							2.5	2.9534988		
11.5		50		1		2						2.5		3.1167839	
11.5		36.213665		1		2.1000001						2.5		3.291143	
11.5		15.355447		1		2.2						2.5		1.9233271	
15.9	50			2	3.3							3.5	3.177371		
15.9		50		2		1.7						3.5		3.7578988	
15.9		11.984942		2		1.7						3.5		3.7617397	
15.9		26.11812		2		2.2						3.5		2.2413383	
26.5	50			0.8	1.8000001							3.5	4.8083215		
26.5		40.9355		0.8		1.6						3.5		5.097703	
26.5		39.982243		0.8		1.4						3.5		5.0043354	
26.5		26.053396		0.8		2.1000001						3.5		3.3356154	
16.8	50			0.5	5.3							2.7	4.342841		
16.8		50		0.5		3.1000001						2.7		4.1500144	
16.8		50		0.5		2.1000001						2.7		3.7510931	
16.8		25.945314		0.5		3.4						2.7		2.710458	
18.9	50			2	3.5							3.2	4.049204		
18.9		50		2		2.9						3.2		4.253272	
18.9		18.190403		2		1.8000001						3.2		3.9055202	
18.9		32.9654		2		4.4						3.2		2.6692748	
14.3	50			0.6	6.1							2.3	3.4454556		
14.3		29.232672		0.6		2.2						2.3		3.664372	
14.3		43.471077		0.6		1.5						2.3		3.525752	
14.3		25.415627		0.6		4.4						2.3		2.1134193	
15.9	50			0.3	3.3							3.5	3.4574153		
15.9		50.944084		0.3		1.4						3.5		3.6072288	
15.9		34.075813		0.3		1.5						3.5		3.572485	
15.9		24.56164		0.3		2.2						3.5		2.2217705	
16.2	50			0.5	4.7000003							2.5	3.321424		
16.2		50		0.5		1.4						2.5		3.7515988	
16.2		103.62536		0.5		1.6						2.5		3.3592267	
16.2		17.281178		0.5		3.4						2.5		2.1869776	
13.2	50			1	2.4							2.6	3.2432644		
13.2		50		1		2.3						2.6		3.286235	
13.2		20.664654		1		1.5						2.6		3.3136244	
13.2		22.29721		1		2.7						2.6		1.9514556	
19	50			0.5	2.9							3	3.4265468		
19		50		0.5		2.8						3		3.9000742	
19		50		0.5		2.1000001						3		3.5027127	
19		18.781816		0.5		2.9						3		2.4207933	
14.3	50			0.5	3.9							2.5	4.1680484		
14.3		25.83214		0.5		1.8000001						2.5		3.6401389	
14.3		27.429924		0.5		1.6						2.5		3.5840154	
14.3		25.445982		0.5		4						2.5		2.5872848	
19.6	50			0.2	1.9							3.5	5.047266		
19.6		183.69952		0.2		4.1						3.5		4.8684316	
19.6		44.253143		0.2		1.5						3.5		4.7185416	
19.6		32.436646		0.2		1.9						3.5		3.7002246	
22.4	50			0.4	4.8							3.9	4.3224745		
22.4		24.326172		0.4		1.6						3.9		4.454542	
22.4		29.731453		0.4		1.4						3.9		4.50748	
22.4		30.389904		0.4		1.7						3.9		3.389408	
16.8	50			0.5	5.3							3.9	3.9219897		
16.8		50		0.5		2.3						3.9		4.570077	
16.8		21.485418		0.5		2.4						3.9		4.188391	
16.8		23.862194		0.5		2.4						3.9		3.2219925	
21.8	50			0.5	1.5							5	4.7594676		
21.8		18.487404		0.5		1.5						5		3.993701	
21.8		10.965673		0.5		1.5						5		3.9552183	
21.8		24.840073		0.5		2.9						5		2.992172	
15.9	50			0.4	5.7000003							2.6	4.103103		
15.9		27.663889		0.4		2.2						2.6		3.9932568	
15.9		18.25566		0.4		2.3						2.6		3.7126393	
15.9		29.558489		0.4		6.2000003						2.6		2.62112	
14.7	50			0.4	3.7							3	3.6656935		
14.7		50		0.4		1.7						3		3.7287223	
14.7		27.221197		0.4		1.7						3		3.7375274	
14.7		26.218626		0.4		5.3						3		2.3442366	
13.3	50			0.5	6.4							2.3	3.297152		
13.3		75.91949		0.5		3						2.3		3.2463953	
13.3		21.91218		0.5		1.7						2.3		3.1829464	
13.3		13.423866		0.5		3.4						2.3		1.9254518	
20	50			0.7	3.4							4	3.1893034		
20		50		0.7		2.6000001						4		3.4944277	
20		40.915543		0.7		1.9						4		3.8113139	
20		24.117865		0.7		4.7000003						4		1.917131	
18.2	50			0.3	5.2000003							3.4	4.4277596		
18.2		50		0.3		3.7						3.4		4.264947	
18.2		22.515724		0.3		4.1						3.4		4.4002576	
18.2		10.557641		0.3		6.5						3.4		2.9583719	
18.5	50			0.4	4.5							3.9	4.054147		
18.5		50		0.4		4.1						3.9		3.8450794	
18.5		50		0.4		4						3.9		3.570099	
18.5		13.733217		0.4		4.4						3.9		2.433886	
12.8	50			1.5	7.1							3.2	3.1385355		
12.8		50		1.5		4.3						3.2		2.894726	
12.8		50		1.5		4.3						3.2		3.293633	
12.8		7.467797		1.5		7						3.2		1.6378223	
11.3	50			0.2	8.3							3	3.4052062		
11.3		50		0.2		2.1000001						3		3.3756788	
11.3		21.053095		0.2		1.4						3		3.4675667	
11.3		50		0.2		4.7000003						3		2.0582774	
25	50			0.4	5							4.4	5.3241553		
25		27.9724		0.4		1.8000001						4.4		4.861976	
25		50		0.4		1.8000001						4.4		4.936606	
25		30.817884		0.4		2.1000001						4.4		3.9206033	
18.6	50			0.5	4.5							3.8	4.5865517		
18.6		24.575989		0.5		2.4						3.8		4.0770946	
18.6		21.64404		0.5		3.4						3.8		4.008693	
18.6		50		0.5		7						3.8		2.8211985	
20.5	50			0.6	4							3.1	4.7071643		
20.5		50		0.6		2.6000001						3.1		4.476947	
20.5		34.5954		0.6		2						3.1		4.4498773	
20.5		50		0.6		7.2000003						3.1		3.2370605	
21.5	50			2	2							3.5	4.1429853		
21.5		50		2		2						3.5		4.3523545	
21.5		50		2		2.1000001						3.5		4.225501	
21.5		9.601768		2		2.1000001						3.5		3.0999897	
16.6	50			0.7	4.6							3	4.3662972		
16.6		31.583618		0.7		1.8000001						3		4.379816	
16.6		25.189558		0.7		1.7						3		4.0055733	
16.6		30.550283		0.7		2.1000001						3		2.9435496	
21.9	50			0.2	4.1							3.4	5.001355		
21.9		18.40679		0.2		2.1000001						3.4		4.693766	
21.9		18.683006		0.2		1.8000001						3.4		4.5133886	
21.9		30.777592		0.2		4.3						3.4		3.5191262	
21.2	50			0.3	8.2							3.3	3.4253845		
21.2		50		0.3		3.1000001						3.3		3.3825226	
21.2		27.655136		0.3		2.1000001						3.3		3.2306786	
21.2		19.976667		0.3		7.7000003						3.3		2.5670185	
23.6	50			0.4	4.7000003							4.4	5.7036753		
23.6		50		0.4		2.1000001						4.4		5.440911	
23.6		26.038113		0.4		1.4						4.4		5.4954705	
23.6		23.885553		0.4		3						4.4		4.311955	
15.5	50			0.3	10.2							4	4.0928435		
15.5		50		0.3		2.4						4		4.1617775	
15.5		50		0.3		2.8						4		4.1232753	
15.5		50		0.3		10.6						4		2.6858623	
21.2	50			0.5	5.4							5	4.300775		
21.2		50		0.5		3.2						5		4.2340617	
21.2		50		0.5		3.1000001						5		4.126708	
21.2		50		0.5		7						5		2.453506	
20.9	50			0.3	1.9							4.3	4.156456		
20.9		50		0.3		2						4.3		3.7975929	
20.9		50		0.3		2.1000001						4.3		3.87762	
20.9		42.885513		0.3		2.2						4.3		2.8643036	
21.2	50			0.5	8.3							4	5.2760296		
21.2		50		0.5		4.2000003						4		4.611242	
21.2		50		0.5		4.3						4		4.810951	
21.2		50		0.5		9.6						4		3.5000746	
17.9	50			0.3	5.4							4.8	4.536503		
17.9		50		0.3		3.7						4.8		4.303783	
17.9		50		0.3		4						4.8		4.20976	
17.9		50		0.3		11.2						4.8		3.0777788	
11.4	50			0.2	5							2	5.07666		
11.4		50		0.2		2.7						2		5.1139083	
11.4		50		0.2		3.2						2		4.869766	
11.4		50		0.2		3.9						2		3.5893033	
19	50			0.9	6.4							3.1	4.5171304		
19		50		0.9		4.4						3.1		3.995835	
19		50		0.9		4.5						3.1		3.950543	
19		23.863209		0.9		7.3						3.1		3.0333104	
22.4	50			0.5	10.5							4.4	5.4238815		
22.4		50		0.5		4.5						4.4		4.6165786	
22.4		50		0.5		3.2						4.4		4.6591086	
22.4		50		0.5		12.1						4.4		3.4844983	
17.5	50			0.5	4.3							3	3.456697		
17.5		50		0.5		2.9						3		3.5457056	
17.5		22.10764		0.5		2.1000001						3		3.467757	
17.5		28.614956		0.5		3.1000001						3		1.9859635	
14.3	50			1.5	6.2000003							3	3.0415728		
14.3		50		1.5		2.1000001						3		3.3310416	
14.3		36.061523		1.5		2.3						3		3.1612968	
14.3		31.460365		1.5		4.3						3		1.903848	
15.9	50			1.5	2.6000001							3.5	3.141865		
15.9		50		1.5		2.3						3.5		4.1121306	
15.9		15.55647		1.5		1.8000001						3.5		3.9099684	
15.9		22.995962		1.5		2.5						3.5		2.4968486	
5.4	73.20375			1	0							2.3	1.6728101		
5.4		56.87703		1		1.5						2.3		1.7818096	
5.4		39.462948		1		1.4						2.3		1.6950765	
5.4		50		1		2.3						2.3		1.5628821	
18.1	50			1.4	3.1000001							4.1	4.5807376		
18.1		50		1.4		1.5						4.1		4.624632	
18.1		150.53642		1.4		1.9						4.1		4.4761996	
18.1		34.166035		1.4		2.3						4.1		3.2897303	
15.3	50			0.5	2							3.6	3.927893		
15.3		50		0.5		1.8000001						3.6		4.480812	
15.3		50		0.5		1.9						3.6		4.1900053	
15.3		19.696285		0.5		3.9						3.6		2.9719708	
17.6	50			1.7	3.4							3.1	3.6512308		
17.6		50		1.7		1.8000001						3.1		3.9912298	
17.6		50		1.7		2						3.1		4.0346665	
17.6		50		1.7		3						3.1		2.496912	
15.7	50			0.5	4.6							3.2	3.179181		
15.7		50		0.5		3.5						3.2		4.0754175	
15.7		35.463802		0.5		1.9						3.2		4.080834	
15.7		26.891657		0.5		4.7000003						3.2		2.3406029	
16.3	50			1.8	3.3							3.9	4.178154		
16.3		50		1.8		1.9						3.9		4.3573694	
16.3		22.423641		1.8		1.6						3.9		4.057219	
16.3		37.255325		1.8		3.4						3.9		2.983447	
18.9	50			1.2	5.5							3	3.8557315		
18.9		50		1.2		2.2						3		4.0882974	
18.9		50.292484		1.2		1.6						3		4.2469687	
18.9		31.228083		1.2		2.2						3		2.4179788	
20.5	50			1.3	2.6000001							3	4.0731907		
20.5		92.13821		1.3		1.5						3		4.2465296	
20.5		26.129988		1.3		1.5						3		3.8897998	
20.5		24.264868		1.3		2.1000001						3		2.810677	
9.5	20.806288			0.9	1.8000001							2.7	2.4271767		
9.5		50		0.9		4.2000003						2.7		2.497873	
9.5		37.809338		0.9		3.6000001						2.7		2.3491457	
9.5		50		0.9		4.1						2.7		1.9950525	
9	50			1	5							2	2.3100622		
9		120.64374		1		4.5						2		2.9720078	
9		132.40948		1		5.6						2		2.58405	
9		50		1		5.3						2		1.9327425	
16.9	50			1.1	2.8							3.3	3.421332		
16.9		50		1.1		2.2						3.3		3.6932292	
16.9		13.373155		1.1		2.1000001						3.3		3.3458524	
16.9		50		1.1		6.1						3.3		1.9326643	
14.4	50			1.4	3							2.6	3.789294		
14.4		50		1.4		1.8000001						2.6		3.717932	
14.4		50		1.4		1.8000001						2.6		3.5403535	
14.4		19.029867		1.4		2.4						2.6		2.381357	
19.4	50			1	3.1000001							3.5	4.749303		
19.4		20.162685		1		1.5						3.5		4.222656	
19.4		70.0977		1		1.5						3.5		4.2391376	
19.4		21.51337		1		1.4						3.5		3.0953333	
13	50			0.6	5.4							2.4	2.7299743		
13		22.657293		0.6		1.6						2.4		3.3987458	
13		36.0735		0.6		1.6						2.4		3.6056383	
13		30.708424		0.6		5.7000003						2.4		1.9681636	
10.6	50			0.9	3.1000001							2.7	3.1324553		
10.6		50		0.9		1.5						2.7		3.1922565	
10.6		43.07087		0.9		1.4						2.7		3.4273832	
10.6		23.246052		0.9		3.5						2.7		2.1108363	
9.6	50			1.9	1.5							2.6	2.567461		
9.6		50		1.9		2						2.6		3.0999796	
9.6		50		1.9		1.6						2.6		3.2189074	
9.6		15.060586		1.9		2.9						2.6		1.7975119	
5.6	50			0.9	2							2.5	1.9352462		
5.6		50		0.9		1.6						2.5		2.780902	
5.6		63.171734		0.9		1.4						2.5		2.399156	
5.6		50		0.9		2.5						2.5		1.7740079	
13	25.0383			0.3	1.5							3.8	1.8066989		
13		131.66801		0.3		2.2						3.8		2.7362425	
13		23.585806		0.3		1.4						3.8		2.8919322	
13		29.270086		0.3		2.4						3.8		1.5165037	
18.1	50			1	4.8							3.8	4.1524296		
18.1		50		1		2.2						3.8		4.092609	
18.1		12.662514		1		1.6						3.8		4.1527815	
18.1		13.928528		1		4.8						3.8		2.4892647	
16.3	50			0.5	3.8							3.2	3.738297		
16.3		50		0.5		2.1000001						3.2		3.6187227	
16.3		32.36695		0.5		2.1000001						3.2		3.8106883	
16.3		50		0.5		4.6						3.2		2.3242853	
15	50			0.4	4.6							4	4.617059		
15		50		0.4		2.9						4		4.904297	
15		50		0.4		2.9						4		5.130078	
15		21.050877		0.4		4.3						4		3.0458572	
17.8	50			1.9	5							3.4	4.065373		
17.8		50		1.9		3.1000001						3.4		3.5714984	
17.8		50		1.9		4						3.4		3.6143525	
17.8		50		1.9		10.5						3.4		2.6981623	
19.4	50			0.3	4.5							4.7	5.207882		
19.4		44.23241		0.3		1.4						4.7		5.3526726	
19.4		39.33953		0.3		1.4						4.7		4.985841	
19.4		28.99261		0.3		1.8000001						4.7		3.6385832	
18.6	50			1.4	5.5							3.4	4.6972466		
18.6		50		1.4		4.3						3.4		4.5004044	
18.6		30.396383		1.4		2.7						3.4		4.236035	
18.6		15.627901		1.4		5.4						3.4		3.1514652	
16.1	50			0.7	6.6							2.8	3.7761407		
16.1		50		0.7		5.2000003						2.8		3.2987738	
16.1		50		0.7		4.5						2.8		3.1783888	
16.1		50		0.7		11.2						2.8		2.3442383	
17.6	50			1.1	4.9							2.5	3.3234267		
17.6		50		1.1		5.6						2.5		2.8863487	
17.6		50		1.1		4.5						2.5		2.9323695	
17.6		50		1.1		11.3						2.5		1.8086879	
14.9	50			0.4	3.6000001							3.4	4.355761		
14.9		50		0.4		3.1000001						3.4		4.3295364	
14.9		50		0.4		3						3.4		4.3926373	
14.9		11.224552		0.4		4						3.4		2.8502476	
23.1	50			0.4	5.2000003							3.9	5.339901		
23.1		50		0.4		3.6000001						3.9		4.5821443	
23.1		40.776695		0.4		3.7						3.9		4.616878	
23.1		25.951529		0.4		3.5						3.9		3.7441704	
22.8	50			0.4	4.9							4.1	5.375439		
22.8		50		0.4		2.2						4.1		4.781844	
22.8		34.7082		0.4		2.7						4.1		4.8422055	
22.8		50		0.4		4.8						4.1		3.744469	
23.8	50			0.5	5.2000003							4.6	5.6410923		
23.8		50		0.5		2.4						4.6		5.1265316	
23.8		19.97944		0.5		2						4.6		5.2876706	
23.8		17.139894		0.5		2.4						4.6		3.8985147	
25.5	50			0.3	2.5							4.4	5.444943		
25.5		50		0.3		1.6						4.4		5.2765493	
25.5		114.30901		0.3		1.7						4.4		5.138643	
25.5		19.127716		0.3		2						4.4		3.8364089	
22.4	50			0.2	1.8000001							4.2	4.854702		
22.4		31.938631		0.2		1.5						4.2		4.451174	
22.4		33.81048		0.2		1.4						4.2		4.354804	
22.4		50		0.2		5.1						4.2		3.2010612	
22.3	78.99875			0.3	1.7							4.4	4.567467		
22.3		83.575645		0.3		1.5						4.4		4.5569096	
22.3		28.708261		0.3		1.4						4.4		4.3821874	
22.3		30.673578		0.3		1.6						4.4		3.515942	
15.8	50			1.8	4.7000003							3	4.130919		
15.8		42.138744		1.8		1.7						3		3.9112177	
15.8		25.840342		1.8		1.5						3		3.6166272	
15.8		17.607386		1.8		2						3		2.9572644	
17.9	16.405178			1.5	1.9							4.1	3.8977323		
17.9		21.71108		1.5		1.4						4.1		3.870931	
17.9		16.874483		1.5		1.5						4.1		3.8557916	
17.9		29.738838		1.5		5.2000003						4.1		3.0541136	
16.1	43.09076			0.4	1.7							3.1	2.627575		
16.1		29.283009		0.4		1.4						3.1		2.6068237	
16.1		51.190716		0.4		2						3.1		2.2700531	
16.1		26.875261		0.4		4.6						3.1		1.791981	
11.2	50			0.3	4.9							3	3.005139		
11.2		40.93348		0.3		3.8						3		2.9066758	
11.2		50		0.3		4.1						3		2.8124244	
11.2		48.562023		0.3		5						3		2.0047603	
9.7	50			0.5	9.5							3.1	2.084776		
9.7		16.898434		0.5		1.4						3.1		3.5750897	
9.7		26.517815		0.5		1.4						3.1		3.0730877	
9.7		43.99041		0.5		1.7						3.1		2.1339717	
10	50			0.4	5.1							3.1	1.8983179		
10		47.755894		0.4		1.5						3.1		4.2349544	
10		29.807901		0.4		1.4						3.1		3.9653451	
10		32.879562		0.4		1.4						3.1		2.7768614	
19.2	50			1.1	1.4							4	4.1663947		
19.2		50		1.1		2						4		4.3647294	
19.2		31.466135		1.1		1.6						4		4.3207946	
19.2		22.020323		1.1		1.9						4		2.9651444	
17.3	17.360674			0.3	2.1000001							4	3.8832862		
17.3		34.93184		0.3		1.4						4		3.877005	
17.3		31.848425		0.3		1.4						4		4.097137	
17.3		15.028975		0.3		2.4						4		2.3572538	
16.1	50			0.3	6.4							3.5	3.8624783		
16.1		61.92734		0.3		1.4						3.5		4.3403344	
16.1		30.090263		0.3		1.5						3.5		4.555471	
16.1		20.302568		0.3		1.7						3.5		3.08286	
16.2	50			0.5	6							3.5	3.643686		
16.2		25.476166		0.5		1.6						3.5		3.4506636	
16.2		34.665916		0.5		1.6						3.5		3.3031974	
16.2		14.620459		0.5		4.7000003						3.5		2.6751277	
18.1	50			0.6	3.8							3.1	4.5559855		
18.1		46.354973		0.6		1.5						3.1		4.285929	
18.1		47.16972		0.6		1.6						3.1		4.284844	
18.1		24.235006		0.6		3						3.1		2.9787903	
16.7	50			1.2	6.7000003							3.2	3.9939952		
16.7		50		1.2		1.9						3.2		3.9358485	
16.7		40.4755		1.2		1.9						3.2		3.8537889	
16.7		9.94192		1.2		4.3						3.2		2.8376646	
14.6	50			0.2	2.4							3	3.6460984		
14.6		17.40814		0.2		1.7						3		3.9920933	
14.6		16.274275		0.2		1.6						3		3.6098785	
14.6		28.05375		0.2		3.5						3		2.411147	
15.8	35.19782			0.5	1.4							2.1	3.3323393		
15.8		31.389845		0.5		1.5						2.1		3.0465667	
15.8		50.12807		0.5		1.6						2.1		3.2044516	
15.8		38.258827		0.5		1.4						2.1		2.3977396	
7.9	50			1.6	3.8							2.5	2.993852		
7.9		58.755726		1.6		2						2.5		4.4006567	
7.9		25.81819		1.6		2.2						2.5		3.9258106	
7.9		15.708916		1.6		3.8						2.5		2.7348578	
19	50			1	3.3							3.4	4.499379		
19		31.999155		1		1.5						3.4		4.883317	
19		33.247444		1		1.4						3.4		4.6444626	
19		25.161552		1		1.5						3.4		3.592825	
12	14.503862			0.2	1.7							2.3	2.5914402		
12		28.622208		0.2		1.8000001						2.3		2.7087038	
12		37.894325		0.2		1.8000001						2.3		2.54248	
12		20.56658		0.2		2.2						2.3		1.3938599	
12.5	28.604528														
12.5		18.569704													
12.5		25.449415													
12.5		13.178791													
18.3	50			1.1	5.4							3.8	4.331885		
18.3		37.689323		1.1		1.4						3.8		4.3834143	
18.3		32.286434		1.1		1.6						3.8		4.2697096	
18.3		16.897375		1.1		1.4						3.8		3.7891145	
51.8	50			7	7.8							8.5	7.6099415		
